nombre;marca;tipo
Caramel 90L;Patagonia Malt;MALTA
Cebada Tostada;Patagonia Malt;MALTA
Chocolate 350L;Patagonia Malt;MALTA
Coffee 230L;Patagonia Malt;MALTA
Extra Pale;Patagonia Malt;MALTA
Munich;Patagonia Malt;MALTA
Pale Ale;Patagonia Malt;MALTA
Perla Negra 340L;Patagonia Malt;MALTA
Pilsen;Patagonia Malt;MALTA
Trigo;Patagonia Malt;MALTA
Vienna;Patagonia Malt;MALTA
Pale Ale;Tai Pan;MALTA
Pilsen;Tai Pan;MALTA
Abbey;Weyermann;MALTA
Acidulated;Weyermann;MALTA
Beech Smoked Barley;Weyermann;MALTA
Cara Wheat;Weyermann;MALTA
Caraamber;Weyermann;MALTA
Caraaroma;Weyermann;MALTA
Carabelg;Weyermann;MALTA
Carafa I;Weyermann;MALTA
Carafa II;Weyermann;MALTA
Carafa III;Weyermann;MALTA
Carafa special I;Weyermann;MALTA
Carafa special III;Weyermann;MALTA
Carafoam;Weyermann;MALTA
Carahell;Weyermann;MALTA
Caramunich I (Type 1);Weyermann;MALTA
Caramunich I (Type 2);Weyermann;MALTA
Caramunich I (Type 3);Weyermann;MALTA
Carapils;Weyermann;MALTA
Carared;Weyermann;MALTA
Chocolate Wheat;Weyermann;MALTA
Melanoidin;Weyermann;MALTA
Munich I (Type 1);Weyermann;MALTA
Munich II (Type 2);Weyermann;MALTA
Pale Ale;Weyermann;MALTA
Pale Rye;Weyermann;MALTA
Pale Wheat;Weyermann;MALTA
Pilsen;Weyermann;MALTA
Roasted Barley;Weyermann;MALTA
Special W;Weyermann;MALTA
Vienna;Weyermann;MALTA
Amarillo;;LUPULO
Apollo;;LUPULO
Bravo;;LUPULO
Bullion Arg;;LUPULO
Calypso;;LUPULO
Cascade;;LUPULO
Cascade Arg;;LUPULO
Catarata Arg;;LUPULO
Centennial;;LUPULO
Chinook;;LUPULO
Citra;;LUPULO
Colombus;;LUPULO
East Kent Golding;;LUPULO
Ekuanot;;LUPULO
Falconers;;LUPULO
Fuggle;;LUPULO
Hallertauer Blanc;;LUPULO
Hallertauer Magnum;;LUPULO
Hallertauer Tradition;;LUPULO
Huell Melon;;LUPULO
Lemondrop;;LUPULO
Magnum Arg;;LUPULO
Mandarina Bavaria;;LUPULO
Mapuche Arg;;LUPULO
Mosaic;;LUPULO
Northern Brewer;;LUPULO
Nugget;;LUPULO
Nugget Arg;;LUPULO
Perle;;LUPULO
Saaz;;LUPULO
Simcoe;;LUPULO
Sorachi Ace;;LUPULO
Spalter Arg;;LUPULO
Styrian Golding;;LUPULO
Tehuelche Arg;;LUPULO
Tettnanger;;LUPULO
Traful Arg;;LUPULO
Victoria Arg;;LUPULO
Willamette Arg;;LUPULO
Zeus;;LUPULO
Safale BE-134;Fermentis;LEVADURA
Safale K-97;Fermentis;LEVADURA
Safale S-04;Fermentis;LEVADURA
Safale US-05;Fermentis;LEVADURA
Safbrew BE-256 / Abbaye;Fermentis;LEVADURA
Safbrew S-33;Fermentis;LEVADURA
Safbrew T-58;Fermentis;LEVADURA
Safbrew WB-06;Fermentis;LEVADURA
Saflager S-189;Fermentis;LEVADURA
Saflager S-23;Fermentis;LEVADURA
Saflager W-34/70;Fermentis;LEVADURA
Abbaye;Lallemand;LEVADURA
Belle Saison;Lallemand;LEVADURA
BRY-97;Lallemand;LEVADURA
Diamond;Lallemand;LEVADURA
London ESB;Lallemand;LEVADURA
Munich;Lallemand;LEVADURA
Munich Classic;Lallemand;LEVADURA
Nottingham;Lallemand;LEVADURA
Windsor;Lallemand;LEVADURA
Silicagel;;CLARIFICANTE
Isinglass;;CLARIFICANTE
Irish Moss;;CLARIFICANTE
Gelatina;;CLARIFICANTE
Bentonita;;CLARIFICANTE
